CustomerId,total_transactions,total_amount,avg_amount,std_amount,avg_fee_paid,total_refunds_count,tx_hour_mean,tx_day_mean,last_transaction_time,first_transaction_time,ProviderId,ProductCategory,ChannelId,PricingStrategy,active_days,Recency,Frequency,Monetary,rfm_cluster,is_high_risk
CustomerId_1,1,10000.0,10000.0,0.0,0.0,1,16.0,21.0,2018-11-21 16:49:14+00:00,2018-11-21 16:49:14+00:00,ProviderId_4,airtime,ChannelId_2,4,1,84,1,10000.0,0,1
CustomerId_10,1,10000.0,10000.0,0.0,0.0,1,16.0,21.0,2018-11-21 16:49:09+00:00,2018-11-21 16:49:09+00:00,ProviderId_4,airtime,ChannelId_2,4,1,84,1,10000.0,0,1
CustomerId_1001,5,30400.0,6080.0,4100.2438951847735,0.0,2,7.8,16.0,2018-11-16 08:20:39+00:00,2018-11-16 07:53:19+00:00,ProviderId_4,financial_services,ChannelId_3,2,1,90,5,30400.0,2,0
CustomerId_1002,11,4775.0,434.09090909090907,518.8054461058509,0.0,6,13.454545454545455,14.727272727272727,2019-01-18 10:05:00+00:00,2018-11-15 18:50:09+00:00,ProviderId_4,financial_services,ChannelId_2,2,64,26,11,4775.0,2,0
CustomerId_1003,6,32000.0,5333.333333333333,3945.461527713414,0.0,2,14.333333333333334,1.0,2019-02-01 15:04:51+00:00,2019-02-01 14:58:07+00:00,ProviderId_6,airtime,ChannelId_3,2,1,12,6,32000.0,2,0
CustomerId_1004,1,2000.0,2000.0,0.0,0.0,0,18.0,22.0,2018-12-22 18:14:31+00:00,2018-12-22 18:14:31+00:00,ProviderId_1,airtime,ChannelId_3,4,1,53,1,2000.0,0,1
CustomerId_1005,9,61200.0,6800.0,4106.093033529562,0.0,3,10.11111111111111,28.0,2018-12-28 13:08:44+00:00,2018-12-28 08:44:36+00:00,ProviderId_4,financial_services,ChannelId_3,2,1,47,9,61200.0,2,0
CustomerId_1006,1,1000.0,1000.0,0.0,0.0,0,7.0,11.0,2018-12-11 07:28:04+00:00,2018-12-11 07:28:04+00:00,ProviderId_5,financial_services,ChannelId_3,2,1,65,1,1000.0,0,1
CustomerId_1007,1,28000.0,28000.0,0.0,0.0,0,6.0,24.0,2018-11-24 06:35:26+00:00,2018-11-24 06:35:26+00:00,ProviderId_5,financial_services,ChannelId_3,2,1,82,1,28000.0,0,1
CustomerId_1008,2,20000.0,10000.0,0.0,0.0,0,13.0,9.0,2018-12-09 13:15:46+00:00,2018-12-09 13:14:07+00:00,ProviderId_3,financial_services,ChannelId_3,2,1,66,2,20000.0,0,1
CustomerId_1009,1,500.0,500.0,0.0,0.0,0,6.0,17.0,2019-01-17 06:54:59+00:00,2019-01-17 06:54:59+00:00,ProviderId_1,airtime,ChannelId_3,4,1,28,1,500.0,0,1
CustomerId_1010,7,29665.0,4237.857142857143,4503.197028355575,330.0,3,11.428571428571429,15.571428571428571,2019-01-02 20:55:21+00:00,2018-12-21 08:18:38+00:00,ProviderId_4,financial_services,ChannelId_3,2,13,42,7,29665.0,2,0
CustomerId_1012,74,132894.0,1795.8648648648648,3385.648564258615,0.0,32,16.04054054054054,18.675675675675677,2019-02-08 16:07:30+00:00,2018-11-16 10:42:35+00:00,ProviderId_3,airtime,ChannelId_3,1,85,5,74,132894.0,1,0
CustomerId_1014,8,763880.0,95485.0,119332.84340149493,0.0,0,9.125,25.0,2018-12-25 10:03:05+00:00,2018-12-25 09:07:21+00:00,ProviderId_3,financial_services,ChannelId_3,2,1,50,8,763880.0,2,0
CustomerId_1016,5,32000.0,6400.0,3781.5340802378078,0.0,2,18.0,8.0,2019-02-08 18:51:53+00:00,2019-02-08 18:47:23+00:00,ProviderId_4,financial_services,ChannelId_3,2,1,5,5,32000.0,2,0
